order_id,product_category,price_inr,discount_pct,payment_method,customer_tenure_days,num_previous_orders,num_previous_returns,delivery_distance_km,delivery_days,is_weekend_order,customer_rating,returned
1,Footwear,2572.0,23.78079633299572,Prepaid_Card,17,3,0.0,604.6,1.0,0,2.0,0
2,Electronics,16689.0,6.725099524405847,COD,104,3,0.0,166.4,9.0,0,2.0,0
3,Footwear,800.0,51.28098805070665,Prepaid_Card,103,3,0.0,418.8,8.0,0,3.0,0
4,Home,7930.0,49.73046589851368,COD,1479,33,4.0,143.1,5.0,0,3.0,1
5,Apparel,715.0,0.0,COD,95,0,0.0,335.5,3.0,1,2.0,0
6,Beauty,750.0,24.65176581018737,Prepaid_Card,102,2,0.0,126.1,3.0,0,4.0,0
7,Footwear,1444.0,32.58493832096105,Prepaid_Card,14,1,0.0,355.1,5.0,1,3.0,0
8,Footwear,4132.0,28.625572124767224,Prepaid_UPI,459,11,1.0,191.3,8.0,0,4.0,0
9,Apparel,1775.0,44.7329441241765,Prepaid_UPI,656,16,0.0,169.9,10.0,1,1.0,1
10,Electronics,21231.0,41.61449061271922,Prepaid_UPI,231,8,1.0,194.1,4.0,0,3.0,1
11,Electronics,43048.0,25.977810344757728,Prepaid_UPI,146,3,0.0,228.8,4.0,1,5.0,0
12,Beauty,274.0,56.156554186174546,Prepaid_UPI,59,2,0.0,253.6,4.0,1,4.0,0
13,Home,7181.0,36.052697840613654,COD,46,0,0.0,104.3,5.0,1,,0
14,Footwear,742.0,16.728782572331163,Prepaid_Card,139,8,2.0,269.9,3.0,1,1.0,1
15,Electronics,18332.0,13.714786077574725,COD,908,19,2.0,88.0,2.0,0,5.0,0
16,Apparel,497.0,40.650122544604116,COD,17,2,0.0,384.8,4.0,0,1.0,1
17,Home,7992.0,10.105686602043372,COD,1207,26,2.0,281.2,5.0,1,3.0,0
18,Apparel,2046.0,15.853925808122842,Prepaid_UPI,25,0,0.0,280.9,8.0,1,4.0,0
19,Footwear,2839.0,18.406421628177277,Prepaid_UPI,1780,39,5.0,352.9,2.0,1,3.0,0
20,Home,1977.0,27.33480089914226,Wallet,22,0,0.0,286.7,7.0,0,2.0,0
21,Footwear,1607.0,19.098124555576273,Wallet,111,0,0.0,526.1,4.0,1,5.0,1
22,Electronics,20890.0,2.2454365527979228,Prepaid_UPI,434,12,2.0,127.3,4.0,0,1.0,0
23,Beauty,909.0,39.43119606986146,COD,237,6,1.0,101.4,1.0,1,5.0,0
24,Footwear,585.0,15.934020268223273,Prepaid_UPI,170,2,0.0,536.1,5.0,0,1.0,0
25,Footwear,3125.0,52.299029031992376,Prepaid_UPI,2486,56,5.0,287.3,5.0,1,1.0,1
26,Apparel,1504.0,26.559850108897592,Prepaid_UPI,1238,29,5.0,305.5,9.0,0,3.0,0
27,Electronics,40809.0,41.008112266032384,COD,321,6,1.0,119.8,4.0,1,3.0,1
